PLAYER NAME,TEAM,POS,Speed (MPH),Wk,Play Type
Tyreek Hill,KC,WR,21.95,1,58 yd reception TD
Tyreek Hill,KC,WR,21.78,1,91 yd punt ret TD
Derrick Henry,TEN,RB,21.46,1,2 yd rush *
James Conner,PIT,RB,21.03,1,22 yd rush TD
A.J. Green,CIN,WR,20.95,1,38 yd reception TD
Isaiah Crowell,NYJ,RB,20.95,1,62 yd rush TD
JuJu Smith-Schuster,PIT,WR,20.93,1,67 yd reception
Jakeem Grant,MIA,WR,20.93,1,102 yd kickoff ret TD
Darius Jennings,TEN,WR,20.64,1,94 yd kickoff ret TD
DeSean Jackson,TB,WR,20.45,1,58 yd reception TD
DeSean Jackson,TB,WR,20.41,1,36 yd reception TD *
Tyler Lockett,SEA,WR,20.35,1,51 yd reception TD
Kenny Stills,MIA,WR,20.25,1,75 yd reception TD
Matt Breida,SF,RB,20.19,1,-1 yd rush
Mike Evans,TB,WR,20.15,1,50 yd reception TD
Nyheim Hines,IND,RB,20.05,1,4 yd rush
Pharoh Cooper,LAR,WR,20.03,1,12 yd punt ret
Tarik Cohen,CHI,RB,19.96,1,42 yd punt ret
Saquon Barkley,NYG,RB,19.82,1,68 yd rush TD
Tevin Coleman,ATL,RB,19.76,1,26 yd reception
Antonio Callaway,CLE,WR,21.48,2,47 yd reception TD
JoJo Natson,LAR,WR,20.93,2,60 yd punt ret
Phillip Lindsay,DEN,RB,20.76,2,53 yd rush
Jamison Crowder,WAS,WR,20.68,2,25 yd rush
DeSean Jackson,TB,WR,20.5,2,75 yd reception TD
Stefon Diggs,MIN,WR,20.48,2,75 yd reception TD
JoJo Natson,LAR,WR,20.39,2,17 yd punt ret
Brandin Cooks,LAR,WR,20.35,2,57 yd reception
Terrelle Pryor,NYJ,WR,20.35,2,44 yd reception
Ted Ginn,NO,WR,20.35,2,42 yd reception
Tevin Coleman,ATL,RB,20.31,2,36 yd rush
O.J. Howard,TB,TE,20.31,2,75 yd reception TD
Chris Hogan,NE,WR,20.29,2,29 yd reception TD
Tyrell Williams,LAC,WR,20.23,2,18 yd reception
Ezekiel Elliott,DAL,RB,20.15,2,19 yd rush
Dane Cruikshank,TEN,DB,20.15,2,66 yd reception TD
Prince Amukamara,CHI,CB,20.09,2,49 yd int TD
Cam Newton,CAR,QB,20.07,2,10 yd rush
Robby Anderson,NYJ,WR,20.03,2,17 yd reception
Jamal Agnew,DET,CB,19.98,2,4 yd punt ret *
Albert Wilson,MIA,WR,21.74,3,74 yd reception TD
DeSean Jackson,TB,WR,21.48,3,0 yd punt ret *
Julio Jones,ATL,WR,21.33,3,58 yd reception
Ted Ginn,NO,WR,21.27,3,20 yd rush
Dominique Rodgers-Cromartie,OAK,CB,21.07,3,0 yd punt ret *
Jordy Nelson,OAK,WR,21.05,3,61 yd reception
Mike Williams,LAC,WR,21.05,3,42 yd reception TD
Jordy Nelson,OAK,WR,20.97,3,66 yd reception
Calvin Ridley,ATL,WR,20.9,3,75 yd reception TD
A.J. Green,CIN,WR,20.88,3,31 yd reception
Matt Breida,SF,RB,20.8,3,26 yd rush
Todd Gurley,LAR,RB,20.72,3,25 yd reception *
Saquon Barkley,NYG,RB,20.66,3,24 yd rush
Josh Allen,BUF,QB,20.6,3,10 yd rush TD
Christian McCaffrey,CAR,RB,20.48,3,45 yd rush
Tyrell Williams,LAC,WR,20.41,3,14 yd rush
Tavon Austin,DAL,WR,20.25,3,18 yd rush
Adrian Peterson,WAS,RB,20.25,3,41 yd rush
Sterling Shepard,NYG,WR,20.25,3,23 yd reception
T.Y. Hilton,IND,WR,20.15,3,2 yd punt ret *
Brandin Cooks,LAR,WR,21.23,4,47 yd reception TD
Donte Moncrief,JAX,WR,21.23,4,67 yd reception TD
Nick Chubb,CLE,RB,21.15,4,63 yd rush TD
Saquon Barkley,NYG,RB,20.86,4,28 yd rush
Cooper Kupp,LAR,WR,20.7,4,70 yd reception TD
Cooper Kupp,LAR,WR,20.58,4,19 yd reception TD
T.Y. Hilton,IND,WR,20.54,4,42 yd reception
Marquez Valdes-Scantling,GB,WR,20.39,4,38 yd reception
John Brown,BAL,WR,20.35,4,33 yd reception TD
Taylor Gabriel,CHI,WR,20.33,4,30 yd reception
DeSean Jackson,TB,WR,20.29,4,48 yd reception
Cordarrelle Patterson,NE,WR,20.21,4,11 yd rush
Corey Davis,TEN,WR,20.19,4,51 yd reception
Cordarrelle Patterson,NE,WR,20.19,4,55 yd reception TD
James White,NE,RB,20.13,4,4 yd reception *
John Ross,CIN,WR,20.11,4,39 yd reception TD
DeSean Jackson,TB,WR,20.09,4,42 yd reception
Adam Thielen,MIN,WR,20.09,4,27 yd reception
Antone Exum,SF,FS,20.05,4,32 yd int TD
DeAndre Hopkins,HOU,WR,20,4,30 yd reception
Kyle Fuller,CHI,CB,21.4,6,35 yd int
Tyreek Hill,KC,WR,21.31,6,75 yd reception TD
Taylor Gabriel,CHI,WR,21.23,6,47 yd reception
Antonio Brown,PIT,WR,21.13,6,31 yd reception TD
Saquon Barkley,NYG,RB,21.07,6,46 yd rush
Marquise Goodwin,SF,WR,21.01,6,67 yd reception TD
Saquon Barkley,NYG,RB,20.74,6,50 yd rush TD
Todd Gurley,LAR,RB,20.72,6,26 yd rush
Antonio Brown,PIT,WR,20.54,6,48 yd reception
Tyreek Hill,KC,WR,20.43,6,14 yd reception TD
Dede Westbrook,JAX,WR,20.41,6,34 yd reception TD
Adam Humphries,TB,WR,20.37,6,51 yd reception
Tremon Smith,KC,DB,20.37,6,97 yd kickoff ret
Tyrell Williams,LAC,WR,20.33,6,44 yd reception
Taylor Gabriel,CHI,WR,20.33,6,54 yd reception
Davante Adams,GB,WR,20.19,6,38 yd reception
LeSean McCoy,BUF,RB,20.15,6,6 yd rush
Nelson Agholor,PHI,WR,20.13,6,58 yd reception
Jeff Heath,DAL,SS,20.09,6,49 yd int
DeSean Jackson,TB,WR,20.05,6,7 yd rush
Kerryon Johnson,DET,RB,21.21,7,71 yd rush
Tyreek Hill,KC,WR,21.03,7,2 yd punt ret *
Tevin Coleman,ATL,RB,20.88,7,30 yd rush TD
Cordarrelle Patterson,NE,WR,20.82,7,95 yd kickoff ret TD
Tarik Cohen,CHI,RB,20.76,7,16 yd reception
John Brown,BAL,WR,20.7,7,56 yd reception
Tyrell Williams,LAC,WR,20.7,7,75 yd reception TD
Raheem Mostert,SF,RB,20.66,7,11 yd rush
Kenyan Drake,MIA,RB,20.6,7,54 yd rush TD
Wendell Smallwood,PHI,RB,20.52,7,7 yd reception *
Marvin Hall,ATL,WR,20.43,7,47 yd reception TD
Darius Jennings,TEN,WR,20.39,7,37 yd kickoff ret *
Adrian Peterson,WAS,RB,20.29,7,23 yd rush
Andre Roberts,NYJ,WR,20.17,7,53 yd kickoff ret
Adam Thielen,MIN,WR,20.03,7,34 yd reception TD
Matt Breida,SF,RB,20,7,7 yd rush
Phillip Lindsay,DEN,RB,19.98,7,22 yd rush
Marlon Mack,IND,RB,19.94,7,29 yd reception TD
Ron Parker,KC,FS,19.92,7,33 yd int TD
Latavius Murray,MIN,RB,19.84,7,38 yd rush TD
Devin McCourty,NE,FS,22.05,8,84 yd int TD
Tarik Cohen,CHI,RB,21.42,8,70 yd reception TD
Marlon Mack,IND,RB,21.35,8,49 yd rush
Shawn Williams,CIN,SS,21.33,8,29 yd int
DeSean Jackson,TB,WR,21.19,8,60 yd reception TD
Will Fuller,HOU,WR,21.15,8,73 yd reception TD
Jakeem Grant,MIA,WR,21.07,8,21 yd punt ret
Jordan Franks,CIN,HB,20.76,8,32 yd reception
Marquise Goodwin,SF,WR,20.74,8,55 yd reception TD
Phillip Lindsay,DEN,RB,20.58,8,14 yd rush
Will Fuller,HOU,WR,20.39,8,34 yd reception
Adrian Peterson,WAS,RB,20.37,8,64 yd rush TD *
Lamar Miller,HOU,RB,20.35,8,58 yd rush
Odell Beckham,NYG,WR,20.31,8,44 yd reception
Kendall Fuller,KC,CB,20.15,8,0 yd int
Cordarrelle Patterson,NE,WR,20.09,8,22 yd rush
Marquez Valdes-Scantling,GB,WR,19.94,8,40 yd reception TD
T.Y. Hilton,IND,WR,19.84,8,34 yd reception
Mike Evans,TB,WR,19.84,8,72 yd reception TD
Tim Patrick,DEN,WR,19.8,8,13 yd rush
Dalvin Cook,MIN,RB,22.07,9,70 yd rush
Tevin Coleman,ATL,RB,21.48,9,3 yd rush *
Tyreek Hill,KC,WR,21.38,9,12 yd rush
Marquez Valdes-Scantling,GB,WR,21.13,9,51 yd reception
Richie James,SF,WR,21.11,9,53 yd reception
Calvin Ridley,ATL,WR,20.97,9,40 yd reception TD
Raheem Mostert,SF,RB,20.93,9,52 yd rush TD
Phillip Lindsay,DEN,RB,20.56,9,22 yd rush
Curtis Samuel,CAR,WR,20.45,9,33 yd rush TD
Desmond King,LAC,CB,20.41,9,42 yd int TD
Martavis Bryant,OAK,WR,20.37,9,17 yd rush
Tarik Cohen,CHI,RB,20.29,9,7 yd rush
